"first_name","last_name","hire_date"
"Eran","Cusworth","11-14-1986"
"Bojan","Zallocco","10-14-1986"
"Nevio","Demizu","05-18-1986"
"Ziva","Vecchi","07-03-1986"
"Mohit","Speek","01-14-1986"
"Qunsheng","Speer","02-13-1986"
"Dines","Encarnacion","08-02-1986"
"Harngdar","Swick","05-28-1986"
"Freyja","Uhrig","12-20-1986"
"Zhenhua","Milicic","08-04-1986"
"Bowen","Schmezko","05-30-1986"
"Reuven","Munke","04-13-1986"
"Fayez","Harllee","01-01-1987"
"Stabislas","Domenig","08-04-1986"
"Juichirou","Jumpertz","09-18-1986"
"Juichirou","Ghelli","12-13-1986"
"Shmuel","Georg","11-30-1986"
"Xiadong","Bach","04-29-1986"
"Guangming","Butterworth","10-01-1986"
"Irene","Setia","08-10-1986"
"Shuichi","Swiler","06-08-1986"
"Terresa","Perez","09-12-1986"
"Lidong","Borovoy","05-30-1986"
"Teiji","Eickenmeyer","09-03-1986"
"Baocai","Kroha","10-27-1986"
"Morrie","Sridhar","03-04-1986"
"Taegyun","Speckmann","12-28-1986"
"Stabislas","McFarlin","07-19-1986"
"Apostol","Ghelli","04-07-1986"
"Khun","Kuszyk","06-30-1986"
"Conor","Flanders","02-21-1986"
"Radhakrishnan","Albarhamtoshy","05-07-1986"
"Shigeu","Denna","04-10-1986"
"Uta","Frolund","01-22-1986"
"Zhiwei","Kaminger","07-04-1986"
"Sven","Krider","09-25-1986"
"Yannik","Vakili","11-09-1986"
"Khatoun","Zeilberger","01-31-1986"
"Fox","Erva","05-06-1986"
"Huai","Birrer","03-28-1986"
"Kristine","Litzler","01-09-1986"
"Eirik","Farrel","09-19-1986"
"Wayne","Levergood","05-05-1986"
"Chrisa","Cullers","01-28-1986"
"Manton","Perko","06-18-1986"
"Etsuo","Ratzlaff","01-15-1986"
"Odysseas","Erie","02-06-1986"
"Ingmar","Lambe","10-21-1986"
"Marin","Ashish","07-11-1986"
"JiYoung","Delaune","09-04-1986"
"Sandeepan","Sidou","01-19-1986"
"Neven","Leivant","09-02-1986"
"Sarita","Hofting","07-03-1986"
"Kolar","Karunanithi","12-06-1986"
"Shmuel","Impagliazzo","02-19-1986"
"Bedrich","Delaune","04-06-1986"
"Susanne","Asser","08-05-1986"
"Syozo","Sommen","03-25-1986"
"Ashish","Ventosa","08-14-1986"
"Ingmar","Pollacia","08-21-1986"
"Shrikanth","Ramalingam","03-10-1986"
"Rimli","Mahnke","04-17-1986"
"Adib","Chepyzhov","11-10-1986"
"Florina","Kavvadias","12-14-1986"
"Kiyomitsu","Bottner","11-07-1986"
"Berni","Thorelli","08-05-1986"
"Fumiya","Vilarrasa","06-27-1986"
"Remzi","Speckmann","11-05-1986"
"Georgi","Middleton","11-24-1986"
"Zejun","Anandan","03-19-1986"
"Kamakshi","Lipner","08-17-1986"
"Hyuncheol","Chaudhuri","07-09-1986"
"Chandrasekaran","Kaiser","12-30-1986"
"Bedir","Bashian","10-05-1986"
"Takahira","Spieker","06-05-1986"
"Krassimir","Sgarro","08-04-1986"
"Maya","Ghemri","06-12-1986"
"Eishiro","Dichev","04-29-1986"
"Hausi","Kambil","07-03-1986"
"Feipei","Clouatre","03-05-1986"
"Susumu","Kuszyk","12-12-1986"
"Stein","Kulisch","06-11-1986"
"Gen","Lundstrom","05-29-1986"
"Reinhard","Serre","07-14-1986"
"Alain","Fujisaki","04-07-1986"
"Alain","Dratva","04-23-1986"
"Claudi","Spieker","04-23-1986"
"Dulce","Ebeling","03-18-1986"
"Jayson","Perri","03-23-1986"
"Steen","Hofman","10-08-1986"
"Mads","Legleitner","07-11-1986"
"Gio","Schauser","10-23-1986"
"Takanari","Beznosov","06-10-1986"
"Gita","Dichev","11-01-1986"
"Barna","Mamelak","01-17-1986"
"Junsik","Sinitsyn","11-21-1986"
"Snehasis","Anily","03-03-1986"
"Behnaam","Schwartzbauer","10-17-1986"
